Source,Target,Type,timestamp
88hk5b,1,direct,1522516715.0
88jatb,1,direct,1522538439.0
88j6a0,1,direct,1522537314.0
88ftj6,1,direct,1522492921.0
88ji18,1,direct,1522540232.0
88jaq9,1,direct,1522538420.0
88bjby,1,direct,1522455398.0
88ejhv,1,direct,1522479916.0
88jrdb,1,direct,1522542555.0
88jegb,1,direct,1522539354.0
88brvj,1,direct,1522457250.0
88h7xj,1,direct,1522511084.0
886chi,1,direct,1522398449.0
88au0f,1,direct,1522449733.0
88k1u4,1,direct,1522544980.0
88jzb6,1,direct,1522544389.0
88jyzo,1,direct,1522544321.0
88cjiv,1,direct,1522463116.0
88i4im,1,direct,1522525642.0
88eu69,1,direct,1522482809.0
88ddxo,1,direct,1522469864.0
88jk0s,1,direct,1522540719.0
88a0i9,1,direct,1522442227.0
88hp8o,1,direct,1522519070.0
88gyaz,1,direct,1522507032.0
88fmi9,1,direct,1522490786.0
88ed1t,1,direct,1522478278.0
88aqng,1,direct,1522448952.0
88ip54,1,direct,1522532633.0
88gioi,1,direct,1522501106.0
88k2aa,1,direct,1522545082.0
88jxpp,1,direct,1522544028.0
88jxkb,1,direct,1522543983.0
88jts7,1,direct,1522543084.0
88jl51,1,direct,1522540995.0
88jkv8,1,direct,1522540936.0
88jkdk,1,direct,1522540806.0
88jdie,1,direct,1522539144.0
88jc5s,1,direct,1522538781.0
88j9tz,1,direct,1522538218.0
88j7ie,1,direct,1522537679.0
88j1xb,1,direct,1522536209.0
88j0l2,1,direct,1522535830.0
88j0ht,1,direct,1522535800.0
88izws,1,direct,1522535644.0
88irp4,1,direct,1522533437.0
88bl39,1,direct,1522455822.0
88iqum,1,direct,1522533160.0
88iqpi,1,direct,1522533116.0
88iqol,1,direct,1522533105.0
88ip90,1,direct,1522532666.0
88dw2o,1,direct,1522474089.0
88gucg,1,direct,1522505439.0
887rwu,1,direct,1522412672.0
88ebcv,1,direct,1522477834.0
88ilad,1,direct,1522531402.0
889q62,1,direct,1522438974.0
88ieut,1,direct,1522529364.0
88aqb2,1,direct,1522448877.0
88fkm1,1,direct,1522490245.0
88i7ns,1,direct,1522526792.0
88878r,1,direct,1522417782.0
88ha8y,1,direct,1522512119.0
88fvl8,1,direct,1522493545.0
88gnmj,1,direct,1522502879.0
88j87v,1,direct,1522537861.0
88huvm,1,direct,1522521565.0
88h0dc,1,direct,1522507882.0
889177,1,direct,1522429623.0
88f5fb,1,direct,1522485812.0
88cqba,1,direct,1522464599.0
88bn9p,1,direct,1522456280.0
88cf87,1,direct,1522462188.0
88g7y5,1,direct,1522497476.0
88hn9j,1,direct,1522518141.0
88gndl,1,direct,1522502782.0
88fxek,1,direct,1522494127.0
88hdrw,1,direct,1522513712.0
88hcn0,1,direct,1522513211.0
88i6hy,1,direct,1522526385.0
88f50c,1,direct,1522485684.0
88hai3,1,direct,1522512242.0
88i47b,1,direct,1522525481.0
8895vr,1,direct,1522431520.0
88h8rh,1,direct,1522511466.0
88exhy,1,direct,1522483716.0
88ex0n,1,direct,1522483566.0
8874jj,1,direct,1522405863.0
88h54y,1,direct,1522509876.0
88ih5z,1,direct,1522530166.0
88h27k,1,direct,1522508649.0
88ctw4,1,direct,1522465409.0
881653,1,direct,1522358213.0
88gwyi,1,direct,1522506472.0
88gwgv,1,direct,1522506245.0
88fry2,1,direct,1522492412.0
88gukz,1,direct,1522505530.0
88996s,1,direct,1522432822.0
88d7am,1,direct,1522468446.0
88e5ff,1,direct,1522476330.0
88gm74,1,direct,1522502358.0
88bzfd,1,direct,1522458872.0
884owh,1,direct,1522384410.0
88ed2g,1,direct,1522478282.0
88ebq0,1,direct,1522477951.0
888d25,1,direct,1522419815.0
88h988,1,direct,1522511666.0
88boyp,1,direct,1522456635.0
886p7m,1,direct,1522401741.0
88i8go,1,direct,1522527114.0
88hvuq,1,direct,1522521958.0
885p87,1,direct,1522392707.0
8881ov,1,direct,1522415853.0
885ylq,1,direct,1522395013.0
88fsps,1,direct,1522492648.0
88dg4o,1,direct,1522470352.0
88a4nu,1,direct,1522443406.0
88fkm9,1,direct,1522490246.0
88fba0,1,direct,1522487470.0
88agbw,1,direct,1522446465.0
88937q,1,direct,1522430465.0
887qxr,1,direct,1522412375.0
8828f9,1,direct,1522366536.0
88apr1,1,direct,1522448741.0
88aoux,1,direct,1522448549.0
88eufz,1,direct,1522482871.0
88d5qh,1,direct,1522468089.0
88eov2,1,direct,1522481400.0
88bax3,1,direct,1522453589.0
88elgi,1,direct,1522480457.0
